epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,469.901,1.55974,2.94903,1.72611,0.5,0.65591,0.60527,0.37628,1.3391,4.55784,1.67076,0.00023338,0.00023338,0.00023338
2,895.746,1.33965,1.72775,1.53007,0.63622,0.65269,0.65185,0.38768,1.40073,3.27817,1.74333,0.000464286,0.000464286,0.000464286
3,1314.25,1.28589,1.54792,1.48261,0.51614,0.51237,0.46741,0.24367,1.63612,2.99344,1.98106,0.000675388,0.000675388,0.000675388
4,1731.63,1.32604,1.46721,1.4781,0.38813,0.52688,0.41499,0.21704,1.8636,5.51168,2.30595,0.000866687,0.000866687,0.000866687
5,2203.39,1.32761,1.27767,1.4784,0.27177,0.39677,0.22503,0.10674,1.89633,5.21538,2.47189,0.00103818,0.00103818,0.00103818
6,2617.15,1.37892,1.39788,1.4972,0.31025,0.34019,0.23337,0.10474,2.09723,5.82681,3.08094,0.00118987,0.00118987,0.00118987
7,3041.39,1.38595,1.45538,1.51894,0.65725,0.41277,0.27173,0.15675,1.85112,3.95713,2.16179,0.00127092,0.00127092,0.00127092
8,3455.35,1.3557,1.26652,1.49457,0.47273,0.6586,0.53249,0.2837,1.67116,3.24885,2.08802,0.00120491,0.00120491,0.00120491
9,3875.04,1.29898,1.23245,1.47423,0.26669,0.68602,0.3974,0.20132,1.70078,5.19756,2.02625,0.00113889,0.00113889,0.00113889
